부서명_국문,부서명_영문
카카오페이,kakaopay
사업총괄,Office of the CBO
마케팅실,Marketing Division
마케팅전략팀,Marketing Strategy Team
그로스마케팅팀,Growth Marketing Team
퍼포먼스마케팅파트,Performance Marketing Part
인플로우마케팅파트,Inflow Marketing Part
데이터마케팅팀,Data Marketing Team
금융제휴팀,Financial Partnership Team
카드제휴파트,Card Partnership Part
RM파트,RM Part
머니제휴파트,Money Partnership Part
사업전략팀,Business Strategy Team
마케팅길드,GUILD_MARKETING
서비스총괄,Office of the CPO
CS실,CS Division
CS정책팀,CS Policy Team
봇서비스팀,Bot Service Team
CS플랫폼팀,CS Platform Team
PMO팀,PMO team
서비스정책팀,Service Policy Team
미니게임TF,Mini Game TF
PM길드,GUILD_PM
기술총괄,Office of the CTO
인프라플랫폼실,Infra Platform Division
NE팀,Network Team
네트워크보안파트,Network Security Part
DB팀,DB Team
SE팀,SE Team
클라우드파트,Cloud Part
기술플랫폼실,Core Technology Division
SRE팀,SRE Team
RE팀,RE Team
Platform Engineering팀,Platform Engineering Team
QA팀,Quality Assurance Team
SQA1파트,SAQ1 Part
SQA2파트,SQA2 Part
PQA파트,PQA Part
DevOps팀,DevOps Team
데브플랫폼파트,Dev Platform Part
IDP TF,IDP TF
서비스플랫폼실,Service Platform Division
플랫폼기획팀,Platform Planning Team
코어플랫폼기획파트,Core Platform Planning Part
FDS파트,FDS Part
API플랫폼팀,API Platform Team
계정플랫폼팀,Account Platform Team
리스크관리플랫폼팀,Risk Management Platform Team
코어플랫폼팀,Core Platform Team
마케팅플랫폼팀,Marketing Platform Team
마케팅플랫폼PM파트,Marketing Platform PM Part
마케팅플랫폼서버파트,Marketing Platform Server Part
마케팅플랫폼FE파트,Marketing Platform FE Part
서비스플랫폼_PM밴드,Service Platform_PM_BAND
클라이언트개발실,Client Development Division
클라이언트플랫폼팀,Client Platform Team
클라이언트서비스파트,Client Service Part
클라이언트개발팀,Client Dev Team
Design System파트,Design System Part
Native파트,Native Part
FE파트,FE Part
기술전략실,IT Strategy Division
기술기획팀,IT Planning Team
기술지원팀,IT Support Team
BPR팀,Business Process Reengineering Team
FDE팀,FDE Team
AI개발도구도입TF,AIDE(Dev Environment) TF
IT진단팀,IT Audit Team
정책지원파트,Tech Governance&Policy Part
자체감사파트,Tech Internal Audit Part
AI실,AI Division
AI서비스팀,AI Service Team
AI엔지니어링팀,AI Engineering Team
AI플랫폼팀,AI Platform Team
AI기획파트,AI Planning Part
AI코어파트,AI Core Part
Agentic AI TF,Agentic AI TF
IT투자심의위원회,IT Investment deliberation Committee
기술윤리위원회,Tech Ethics Committee
Android길드,Android_GUILD
iOS길드,iOS_GUILD
FE길드,FE_GUILD
기술지원길드,TECH_GUILD
Inhouse TF,Inhouse TF
통합마케팅툴TF,Integration Marketing Tool TF
오픈소스관리TF,Open Source Management TF
SA TF,SA TF
UX총괄,Office of the CDO
UX실,UX Division
프로덕트UX팀,Product UX Team
플랫폼UX팀,Platform UX Team
VX디자인팀,VX Design Team
BX디자인팀,BX Design Team
브랜드실,Brand Division
기업브랜딩팀,Corporate Branding Team
서비스브랜딩팀,Service Branding Team
브랜드채널팀,Brand Channel Team
브랜드저널팀,Brand Journal Team
UX인사이트팀,UX Insights Team
사용자경험관리파트,UX Management Part
사용자조사파트,User Research Part
디자인길드,DESIGN_GUILD
Payment Group,Payment Group
Online Payment Clan,Online Payment Clan
온라인결제사업파티,Online Payment Business Party
온라인결제마케팅파티,Online Payment Marketing Party
결제지원파티,Payment Support Party
Payment Service Clan,Payment Service Clan
결제프로덕트파티,Payment Product Party
온라인결제기획유닛,Online Payment Planning Unit
해외결제기획유닛,Global Payment Planning Unit
결제플랫폼기획유닛,Payment Platform Planning Unit
결제코어기획유닛,Payment Core Planning Unit
결제기술파티,Payment Tech Party
온라인결제개발유닛,Online Payment Dev Unit
해외결제개발유닛,Global Payment Dev Unit
결제플랫폼개발유닛,Payment Platform Dev Unit
결제코어개발유닛,Payment Core Dev Unit
결제FE개발유닛,Payment FE Dev Unit
해외서비스TF,Global Service TF
KPG TF,KPG TF
KPG플랫폼유닛,KPG Platform Unit
KPG채널유닛,KPG Channel Unit
결제전략파티,Payment Strategy Party
Digital Asset Group,Digital Asset Group
Wallet Clan,Wallet Clan
월렛코어파티,Wallet Core Party
월렛플랫폼유닛,Wallet Platform Unit
월렛서비스유닛,Wallet Service Unit
비즈월렛파티,Business Wallet Party
스테이블코인비즈TF,Stablecoin Biz TF
스테이블코인테크TF,Stablecoin Tech TF
디지털에셋테크파티,Digital Asset Tech Party
DA서버유닛,DA Server Unit
DA FE유닛,DA FE Unit
DA아키텍처유닛,DA Architecture Unit
디지털에셋디자인파티,Digital Asset Design Party
DataBiz Group,DataBiz Group
Data Clan,Data Clan
데이터거버넌스파티,Data Governance Party
마이데이터플랫폼파티,MyData Platform Party
마이데이터파이프라인유닛,MyData Pipeline Unit
마이데이터플랫폼유닛,MyData Platform Unit
데이터플랫폼파티,Data Platform Party
데이터인텔리전스유닛,Data Intelligence Unit
데이터인프라유닛,Data Infra Unit
데이터자산화유닛,Data Capitalization Unit
데이터플랫폼유닛,Data Platform Unit
Data Clan_RE파티,Data Clan RE Party
DataBiz_사업밴드,DataBiz_BAND_BUSINESS
DataBiz_기술밴드,DataBiz_BAND_TECH
AD Clan,AD Clan
광고사업파티,Ads Business Party
광고플랫폼파티,Ads Platform Party
광고그로스파티,AD Growth Party
AD_디자인밴드,AD_Design Band
데이터비즈전략파티,DataBiz Strategy Party
User Growth Group,User Growth Group
Asset Clan,Asset Clan
자산서비스파티,Asset Service Party
자산전략파티,Aseet Strategy Party
자산사업유닛,Aseet Biz Unit
자산기술파티,Asset Tech Party
자산서버유닛,Asset Server Unit
자산FE유닛,Asset FE Unit
Asset_디자인밴드,Asset_Design Band
Channel Clan,Channel Clan
채널서비스파티,Channel Service Party
채널인플로우유닛,Channel Inflow Unit
채널PX유닛,Channel Personal Experience Unit
채널기술파티,Channel Tech Party
채널서버유닛,Channel BE Unit
채널FE유닛,Channel FE Unit
Channel_기술밴드,Channel BAND_TECH
P TF,P TF
세그먼트TF,Segment TF
유저그로스디자인파티,User Growth Design Party
채널디자인유닛,Channel Design Unit
Insurance Group,Insurance Group
Insurance Platform Clan,Insurance Platform Clan
보험허브파티,Insurance Hub Party
보험전략파티,Insurance Strategy Party
보험데이터유닛,Insurance Data Unit
보험상담혁신TF,Insurance Advisory Innovation TF
보험상담사업유닛,Insurance Consultation Business Unit
보험상담프로덕트유닛,Insurance Consultation Product Unit
보험시너지TF,Insurance Synergy TF
인슈어런스_기술밴드,Insurance_BAND_TECH
E-Doc Clan,e-Document Division
E-doc사업파티,Authentication Business Team
E-doc기획파티,E-doc Business Planning Team
E-doc개발파티,E-doc Business Technology Team
E-doc사업운영파티,Authentication Business Operation Party
인증Migration TF,Authentication Migration TF
E-doc_사업밴드,Edoc_BAND_BUSINESS
E-Doc_디자인밴드,EDOC_BAND_DESIGN
Offline Payment Clan,Offline Payment Clan
오프라인결제사업파티,Offline Payment Business Party
오프라인결제사업1유닛,Offline Payment Business 1 Unit
오프라인결제사업2유닛,Offline Payment Business 2 Unit
오프라인결제마케팅파티,Offline Payment Marketing Party
오프라인결제서비스파티,Offline Payment Service Party
오프라인결제그로스유닛,Offline Payment Growth Unit
오프라인결제코어유닛,Offline Payment Core Unit
오프라인결제개발유닛,Offline Payment Dev Unit
오프라인결제디자인파티,Offline Payment Design Party
오프라인결제클라이언트파티,Offline Payment Client Party
오프라인결제FE유닛,Offline Payment FE Unit
오프라인결제네이티브유닛,Offline Payment Native Unit
굿딜서비스파티,Good Deal Service Party
굿딜프로덕트유닛,Good Deal Product Unit
Alliance TF,Alliance TF
Offline Payment_기술밴드,Offline Payment_TECH_BAND
Credit Clan,Credit Clan
대출사업파티,Credit Business Party
대출프로덕트파티,Credit Product Party
대출기획유닛,Credit Planning Unit
대출디자인유닛,Credit Design Unit
대출기술파티,Credit Dev Party
대출BE유닛,Credit BE Unit
대출FE유닛,Credit FE Unit
대출TAM유닛,Credit TAM Unit
대출인플로우파티,Credit Inflow Party
대출개인화TF,Loan Personalization TF
대출파트너이니셔티브TF,Loan Partner Initiative TF
대출신사업TF,New Loan Initiatives TF
대출중개개선TF,Loan Agency Enhance TF
대안평가모델TF,Alternative Evaluation Model TF
Platform Biz Clan,Platform Biz Clan
플랫폼전략파티,Platform Strategy Party
플랫폼비즈유닛,Platform Biz Unit
플랫폼프로덕트유닛,Platform Product Unit
플랫폼기술파티,Platform Tech Party
플랫폼FE유닛,Platform FE Unit
통신전략파티,Tele Strategy Party
통신비즈유닛,Tele Biz Unit
통신프로덕트유닛,Tele Product Unit
플랫폼그로스파티,Platform Growth Party
경영전략부문,Strategic Management Department
성장지원실,Strategy Division
시너지전략팀,Corporate Strategy Team
EA팀,executive assistant Team
Investment TF,Investment TF
Investment개발파트,Investment Tech Part
Investment FE개발파트,Investment FE Dev Part
사업개발실,Corporate Development Division
투자전략팀,Investment Strategy Team
그로스실,Growth Division
그로스플랫폼팀,Growth Platform Team
데이터분석팀,Data Analytics Team
프로덕트분석파트,Product Analytics Part
비즈니스분석파트,Business Analytics Part
파트너실,Partner Experience Division
파트너플랫폼팀,Partner Platform Team
